"","responsavel","ano","bensMovimentados"
"561","SAA","2019",39
"562","SAA","2020",3
"563","SBAR","2020",1
"564","SCMC","2017",1
"565","SCMC","2018",2
"566","SCMC","2019",8
"567","SFF","2019",4
"568","SFPS","2017",2
"569","SFPS","2018",93
"570","SFPS","2019",35
"571","SGA","2019",4
"572","SLP","2019",3
"573","SLS","2018",1
"574","SLS","2019",1
"575","SLS","2020",1
"576","SML","2018",10
"577","SMMJ","2019",1
"578","SMSF","2020",44
"579","SOCL","2018",36
"580","SPAF","2018",5
"581","SPAF","2019",11
"582","SQB","2019",3
"583","SRG","2018",1
"584","SRG","2019",1
"585","SS","2019",1
"586","SSC","2018",5
"587","SSC","2019",20
"588","SSL","2019",1
"589","SSNM","2017",11
"590","SSNM","2018",6
"591","SSNM","2019",43
"592","SSO","2018",5
"593","SSO","2019",2
"594","STSM","2018",2
"595","SVA","2019",1
"596","SVC","2019",1
"597","TBS","2018",62
"598","TBS","2019",9
"599","TCAA","2017",2
"600","TCAA","2018",7
"601","TCAA","2019",10
"602","TCAS","2018",1
"603","TCAS","2019",29
"604","TJNN","2018",1
"605","TJNN","2019",1
"606","TMFB","2019",3
"607","TNRCL","2019",1
"608","VCAF","2017",1
"609","VCAF","2018",20
"610","VCAF","2019",83
"611","VDG","2018",2
"612","VDG","2019",3
"613","VFG","2017",1
"614","VFG","2018",18
"615","VFG","2019",10
"616","VFG","2020",1
"617","VGRM","2017",53
"618","VGRM","2018",16
"619","VGRM","2019",32
"620","VGRM","2020",25
"621","VLP","2019",1
"622","VPC","2018",14
"623","VPC","2019",41
"624","VRDPR","2018",7
"625","VRDPR","2019",1
"626","VRRLR","2018",4
"627","VRRLR","2019",1
"628","VSS","2019",1
"629","WGS","2019",74
"630","WGS","2020",5
"631","WSB","2018",27
"632","WSB","2019",1
"633","WSB","2020",1
"634","WSF","2018",7
"635","WSF","2019",7
"636","WTE","2018",7
"637","WTE","2019",18
"638","WTE","2020",8
"639","WVS","2017",10
"640","WVS","2018",2
"641","YCOD","2017",3
"642","YCOD","2018",9
"643","YCOD","2019",38
"644","ZLBC","2018",2
"645","ZNM","2018",1
"646","ZNM","2019",10
"647","ZOAL","2017",2
"648","ZOAL","2018",2
"649","ZOAL","2019",1
